plant	treatment	period	MTE 	M.abund	Obs.T	T.exc.
VE05MSA	sucrose_amino	daytime	1	20	5	1
VE05MSA	sucrose_amino	daytime	1	19	15	1
VE05MSA	sucrose_amino	daytime	1	10	15	0
VE05MSA	sucrose_amino	daytime	6	10	15	0
VE05MSA	sucrose_amino	nighttime	6	9	20	0
VE05MSA	sucrose_amino	nighttime	6	10	20	1
VE05MSA	sucrose_amino	nighttime	30	7	20	0
VE05MSA	sucrose_amino	nighttime	1	8	15	0
VE06MSA	sucrose_amino	daytime	30	3	10	0
VE06MSA	sucrose_amino	daytime	11	4	20	0
VE06MSA	sucrose_amino	daytime	6	5	10	1
VE06MSA	sucrose_amino	daytime	30	4	15	0
VE06MSA	sucrose_amino	nighttime	1	20	5	1
VE06MSA	sucrose_amino	nighttime	6	12	15	0
VE06MSA	sucrose_amino	nighttime	5	5	15	0
VE06MSA	sucrose_amino	nighttime	1	5	10	0
VE07MSA	sucrose_amino	daytime	30	11	10	0
VE07MSA	sucrose_amino	daytime	1	14	15	1
VE07MSA	sucrose_amino	daytime	1	7	5	1
VE07MSA	sucrose_amino	daytime	1	7	10	1
VE07MSA	sucrose_amino	nighttime	30	3	10	0
VE07MSA	sucrose_amino	nighttime	6	9	10	1
VE07MSA	sucrose_amino	nighttime	6	10	10	1
VE07MSA	sucrose_amino	nighttime	30	8	15	0
VE08MSA	sucrose_amino	daytime	6	2	10	1
VE08MSA	sucrose_amino	daytime	1	3	10	1
VE08MSA	sucrose_amino	daytime	1	8	5	1
VE08MSA	sucrose_amino	daytime	11	7	15	1
VE08MSA	sucrose_amino	nighttime	11	11	15	1
VE08MSA	sucrose_amino	nighttime	6	11	10	1
VE08MSA	sucrose_amino	nighttime	6	4	10	1
VE08MSA	sucrose_amino	nighttime	1	4	5	1
VE09MSA	sucrose_amino	daytime	1	3	5	1
VE09MSA	sucrose_amino	daytime	1	2	10	1
VE09MSA	sucrose_amino	daytime	30	1	10	0
VE09MSA	sucrose_amino	daytime	30	1	10	0
VE09MSA	sucrose_amino	nighttime	1	15	5	1
VE09MSA	sucrose_amino	nighttime	1	11	15	0
VE09MSA	sucrose_amino	nighttime	1	18	5	1
VE09MSA	sucrose_amino	nighttime	1	18	5	1
VE10MSA	sucrose_amino	daytime	1	3	5	1
VE10MSA	sucrose_amino	daytime	11	3	15	1
VE10MSA	sucrose_amino	daytime	30	1	15	0
VE10MSA	sucrose_amino	daytime	30	1	20	0
VE10MSA	sucrose_amino	nighttime	6	13	10	1
VE10MSA	sucrose_amino	nighttime	1	5	5	1
VE10MSA	sucrose_amino	nighttime	1	18	5	1
VE10MSA	sucrose_amino	nighttime	1	16	10	1
VE01MA	amino	daytime	6	3	10	0
VE01MA	amino	daytime	6	4	30	0
VE01MA	amino	daytime	30	5	15	0
VE01MA	amino	daytime	11	5	20	0
VE01MA	amino	nighttime	30	8	5	0
VE01MA	amino	nighttime	11	5	30	0
VE01MA	amino	nighttime	1	22	5	1
VE01MA	amino	nighttime	1	22	5	1
VE02MA	amino	daytime	30	2	20	0
VE02MA	amino	daytime	30	1	15	0
VE02MA	amino	daytime	11	6	15	1
VE02MA	amino	daytime	6	6	10	1
VE02MA	amino	nighttime	30	1	15	0
VE02MA	amino	nighttime	30	1	5	0
VE02MA	amino	nighttime	30	3	10	0
VE02MA	amino	nighttime	11	2	15	0
VE03MA	amino	daytime	1	1	5	1
VE03MA	amino	daytime	30	0	10	0
VE03MA	amino	daytime	30	0	10	0
VE03MA	amino	daytime	30	0	10	0
VE03MA	amino	nighttime	30	0	10	0
VE03MA	amino	nighttime	30	1	10	0
VE03MA	amino	nighttime	5	5	20	1
VE03MA	amino	nighttime	30	7	20	0
VE04MA	amino	daytime	1	1	5	1
VE04MA	amino	daytime	30	2	15	0
VE04MA	amino	daytime	30	2	30	0
VE04MA	amino	daytime	21	2	30	0
VE04MA	amino	nighttime	30	3	20	0
VE04MA	amino	nighttime	6	3	10	1
VE04MA	amino	nighttime	30	2	20	0
VE04MA	amino	nighttime	30	3	10	0
VE05MA	amino	daytime	30	0	10	0
VE05MA	amino	daytime	30	0	5	0
VE05MA	amino	daytime	30	0	10	0
VE05MA	amino	daytime	30	0	15	0
VE05MA	amino	nighttime	30	0	15	0
VE05MA	amino	nighttime	30	0	20	0
VE05MA	amino	nighttime	30	0	20	0
VE05MA	amino	nighttime	30	0	15	0
VE06MA	amino	daytime	30	3	15	0
VE06MA	amino	daytime	30	3	15	0
VE06MA	amino	daytime	1	7	10	1
VE06MA	amino	daytime	1	7	10	0
VE06MA	amino	nighttime	30	9	20	0
VE06MA	amino	nighttime	11	4	20	0
VE06MA	amino	nighttime	30	5	15	0
VE06MA	amino	nighttime	1	5	5	1
VE07MA	amino	daytime	1	1	15	0
VE07MA	amino	daytime	30	3	15	0
VE07MA	amino	daytime	1	1	5	1
VE07MA	amino	daytime	6	8	15	1
VE07MA	amino	nighttime	30	0	15	0
VE07MA	amino	nighttime	30	0	15	0
VE07MA	amino	nighttime	6	4	15	0
VE07MA	amino	nighttime	1	4	15	0
VE08MA	amino	daytime	30	0	10	0
VE08MA	amino	daytime	30	0	15	0
VE08MA	amino	daytime	30	0	20	0
VE08MA	amino	daytime	30	0	10	0
VE08MA	amino	nighttime	30	3	20	0
VE08MA	amino	nighttime	6	4	10	1
VE08MA	amino	nighttime	30	3	15	0
VE08MA	amino	nighttime	11	2	15	1
VE09MA	amino	daytime	30	1	15	0
VE09MA	amino	daytime	30	0	15	0
VE09MA	amino	daytime	30	0	15	0
VE09MA	amino	daytime	30	0	15	0
VE09MA	amino	nighttime	30	1	15	0
VE09MA	amino	nighttime	30	0	20	0
VE09MA	amino	nighttime	1	30	5	1
VE09MA	amino	nighttime	1	25	15	0
VE10MA	amino	daytime	30	1	10	0
VE10MA	amino	daytime	30	0	20	0
VE10MA	amino	daytime	30	0	15	0
VE10MA	amino	daytime	30	0	15	0
VE10MA	amino	nighttime	11	1	15	1
VE10MA	amino	nighttime	30	0	30	0
VE10MA	amino	nighttime	6	12	10	1
VE10MA	amino	nighttime	30	11	15	0
VE01MW	water	daytime	1	5	10	0
VE01MW	water	daytime	1	4	15	1
VE01MW	water	daytime	30	1	10	0
VE01MW	water	daytime	30	1	10	0
VE01MW	water	nighttime	1	2	5	1
VE01MW	water	nighttime	1	3	10	0
VE01MW	water	nighttime	30	1	15	0
VE01MW	water	nighttime	30	1	15	0
VE02MW	water	daytime	1	3	5	1
VE02MW	water	daytime	30	1	10	0
VE02MW	water	daytime	30	1	10	0
VE02MW	water	daytime	30	1	10	0
VE02MW	water	nighttime	30	0	5	0
VE02MW	water	nighttime	30	0	20	0
VE02MW	water	nighttime	30	0	20	0
VE02MW	water	nighttime	30	0	20	0
VE03MW	water	daytime	30	1	10	0
VE03MW	water	daytime	30	0	15	0
VE03MW	water	daytime	30	2	15	0
VE03MW	water	daytime	30	0	10	0
VE03MW	water	nighttime	30	0	10	0
VE03MW	water	nighttime	30	0	10	0
VE03MW	water	nighttime	30	0	20	0
VE03MW	water	nighttime	30	0	25	0
VE04MW	water	daytime	30	0	15	0
VE04MW	water	daytime	30	0	30	0
VE04MW	water	daytime	30	2	15	0
VE04MW	water	daytime	30	1	30	0
VE04MW	water	nighttime	30	0	20	0
VE04MW	water	nighttime	30	0	15	0
VE04MW	water	nighttime	30	3	15	0
VE04MW	water	nighttime	30	3	15	0
VE05MW	water	daytime	30	0	10	0
VE05MW	water	daytime	30	0	20	0
VE05MW	water	daytime	30	0	20	0
VE05MW	water	daytime	30	0	20	0
VE05MW	water	nighttime	30	0	10	0
VE05MW	water	nighttime	30	2	25	0
VE05MW	water	nighttime	30	2	15	0
VE05MW	water	nighttime	30	2	10	0
VE06MW	water	daytime	30	0	10	0
VE06MW	water	daytime	30	0	25	0
VE06MW	water	daytime	30	0	15	0
VE06MW	water	daytime	30	0	10	0
VE06MW	water	nighttime	30	0	30	0
VE06MW	water	nighttime	30	0	25	0
VE06MW	water	nighttime	30	0	20	0
VE06MW	water	nighttime	30	0	10	0
VE07MW	water	daytime	11	1	25	0
VE07MW	water	daytime	30	0	20	0
VE07MW	water	daytime	30	2	20	0
VE07MW	water	daytime	30	1	15	0
VE07MW	water	nighttime	30	0	10	0
VE07MW	water	nighttime	30	0	15	0
VE07MW	water	nighttime	30	2	20	0
VE07MW	water	nighttime	30	2	15	0
VE08MW	water	daytime	30	0	10	0
VE08MW	water	daytime	30	0	10	0
VE08MW	water	daytime	30	0	5	0
VE08MW	water	daytime	30	0	10	0
VE08MW	water	nighttime	30	0	15	0
VE08MW	water	nighttime	30	0	15	0
VE08MW	water	nighttime	30	0	15	0
VE08MW	water	nighttime	30	0	15	0
VE09MW	water	daytime	1	2	5	1
VE09MW	water	daytime	6	1	20	0
VE09MW	water	daytime	30	0	10	0
VE09MW	water	daytime	30	0	10	0
VE09MW	water	nighttime	30	0	10	0
VE09MW	water	nighttime	30	0	25	0
VE09MW	water	nighttime	30	0	15	0
VE09MW	water	nighttime	30	0	20	0
VE10MW	water	daytime	30	0	20	0
VE10MW	water	daytime	30	1	15	0
VE10MW	water	daytime	30	0	15	0
VE10MW	water	daytime	30	0	15	0
VE10MW	water	nighttime	1	4	15	1
VE10MW	water	nighttime	1	4	10	0
VE10MW	water	nighttime	30	0	15	0
VE10MW	water	nighttime	30	0	15	0
